"Year Code #
(based on 1st yr)","Model #
(randon)",Make,Model,1st Year of Production,Last Year of Production,Total # of Base Model Built,Highlights,
3,,Fiat,"Mephistopheles
(a.k.a. the 'Beast of Turin')",1908,1908,1,"The Fiat Mephistopheles, also known as the ""Beast of Turin,"" is a legendary automobile with a fascinating history.

The Fiat Mephistopheles was a special racing car built by Fiat in 1908. It was designed to break speed records and compete in hill climb events, particularly in the hands of British racing driver Ernest A. Guinness.

The Fiat Mephistopheles was based on the chassis of a Fiat SB4 racing car, which was originally designed for the 1907 Grand Prix season. It was heavily modified to accommodate a massive 21.7-liter 6-cylinder engine that was salvaged from an airship.

The Fiat Mephistopheles was powered by an enormous aviation-derived inline-6 engine, producing around 320 horsepower. This engine was originally designed for airship use, but it was adapted for automotive use in the Mephistopheles. It featured a unique exhaust system that expelled flames and made a thunderous roar, earning it the nickname ""The Beast of Turin.""

In 1911, driven by Ernest A. Guinness, the Fiat Mephistopheles set a new land speed record at the Brooklands racetrack in England, reaching a top speed of approximately 116 mph (187 km/h). This was an incredible achievement considering the car's age and the era in which it was built.

Despite being over a century old, the Fiat Mephistopheles has survived to the present day, albeit in a somewhat modified state. It has undergone several restorations and is occasionally exhibited at automotive events and races around the world, where it continues to captivate audiences with its raw power and unique design.

The Fiat Mephistopheles is considered one of the most iconic and historically significant automobiles ever produced. It represents a bygone era of early automotive engineering and serves as a testament to the ingenuity and innovation of its creators.

Overall, the Fiat Mephistopheles is a legendary car that continues to capture the imagination of automotive enthusiasts worldwide. Its story is a fascinating chapter in the history of motorsport and automotive engineering.","brumm very long red engine compartment, 'FIAT' written on the radiator"
3,,Renault,35CV Type AI,1908,1914,"<5,000","The Renault 35CV, also known as the Renault 35CV Type AI, is a historic car model produced by the French automaker Renault. It was one of the company's flagship luxury vehicles during the early 20th century.

The Renault 35CV was introduced in 1908 as a successor to the successful Renault 40CV model. It was designed to compete in the luxury car segment and cater to affluent customers who sought comfort, performance, and prestige.

The 35CV featured advanced engineering for its time. It was powered by a large-displacement inline-six engine with a capacity of around 7.5 liters, which generated approximately 90 horsepower. This engine was coupled with a robust chassis and suspension system, providing a smooth and comfortable ride.

The Renault 35CV was available in various body styles, including limousines, sedans, and tourers. These body styles were often custom-built to meet the preferences of individual customers, reflecting the bespoke nature of luxury car manufacturing during that era.

The Renault 35CV gained popularity among affluent buyers, including aristocrats, industrialists, and government officials. Its combination of luxury, performance, and prestige made it a desirable choice for those seeking the ultimate in automotive refinement.

Production of the Renault 35CV continued until the outbreak of World War I in 1914. The war disrupted automotive production across Europe, and Renault, like many other manufacturers, shifted its focus to wartime production efforts.

The Renault 35CV left a lasting legacy as one of the most iconic luxury cars of its time. It showcased Renault's engineering prowess and commitment to innovation in the automotive industry. Today, well-preserved examples of the Renault 35CV are highly sought after by collectors and automotive enthusiasts for their historical significance and rarity.

Overall, the Renault 35CV represents a significant chapter in the history of Renault and the evolution of luxury automobiles in the early 20th century.",
3,,Renault,AX,1908,1914,"<10,000","The Renault Type AX, produced from 1908 to 1914, was a small, affordable car introduced by the French automaker Renault.

The Renault Type AX was unveiled in 1908 as a successor to the Renault Type X. It was designed to appeal to a broader market of middle-class buyers who sought affordable personal transportation.

The Type AX was a small and lightweight car, typical of vehicles of its era. It featured a simple and utilitarian design, with a compact body mounted on a robust chassis. The bodywork was typically available in various configurations, including open-top models like touring cars and closed-top models like limousines.

The Type AX was powered by a small-displacement inline-four engine, typically with a displacement of around 0.8 to 1.1 liters. These engines produced modest horsepower, usually between 8 to 10 horsepower, which was sufficient for urban commuting and leisure driving on the relatively primitive road infrastructure of the time.

The Renault Type AX was well-received by customers and enjoyed popularity in its market segment. Its affordable price, reliable performance, and ease of maintenance made it a practical choice for middle-class buyers who were purchasing their first automobiles.

Throughout its production run, the Renault Type AX underwent several updates and revisions to improve performance, reliability, and comfort. These updates included refinements to the engine, chassis, and bodywork, as well as the introduction of new features and options to meet changing customer preferences.

Production of the Renault Type AX continued until 1914, when it was succeeded by newer models in Renault's lineup. The outbreak of World War I in the same year disrupted automotive production in Europe, leading to the temporary cessation of civilian car manufacturing at Renault and other automakers.

Overall, the Renault Type AX represented a significant chapter in Renault's early automotive history, demonstrating the company's ability to produce affordable and practical cars for a mass market audience. While it may not have been as technologically advanced or prestigious as some of Renault's other models, the Type AX played an important role in popularizing personal transportation in the early 20th century.","grey YesterYear model I've had since the beginning - open-top, 2x seater with spare tire on right side"
3,,Blitzen & Cie,Blitzen Benz,1909,1909,6,"The Blitzen Benz is a race car built by Benz & Cie in Mannheim, Germany, in 1909. In 1910 an enhanced model broke the world land speed record. It was one of six cars based on the Grand Prix car, but it had an enlarged engine, 21,504 cm3 (1,312.3 in3), 200 hp (149.1 kW) inline-four, and improved aerodynamics.

Of the six Blitzen Benzes ever made, only two survive—Mercedes-Benz owns one, while the other belongs to an American collector.[3]

At Brooklands on 9 November 1909, land speed racer Victor Hémery of France set a record with an average speed of 202.7 kilometres per hour (126.0 mph) over a kilometre.

At Brooklands on 24 June 1914, land speed racer British driver Lydston Hornsted, in Blitzen Benz No 3, set a record with an average speed of 200.7 kilometres per hour (124.7 mph) with 2 runs over a 1-mile course, under the new regulations of the Association International des Automobile Clubs Reconnus (AIACR).[4]

On 23 April 1911, Bob Burman recorded an average of 228.1 kilometres per hour (141.7 mph) over a full mile at Daytona Beach,[5] breaking Glenn Curtiss's unofficial absolute speed record, land, sea or air, set in 1907 on his V-8 motorcycle.[6] Burman's record stood until 1919.[5]

After 1914 the car was rebuilt for circuit racing, undergoing a number of revisions before it was broken up in 1923.",
3,,Daimler-Motoren-Gesellschaft (DMG),Mercedes-Knight,1909,1924,"<10,000","The Mercedes-Knight was a series of automobiles produced by Daimler-Motoren-Gesellschaft (DMG), the precursor to Mercedes-Benz, in the early 20th century.

The Mercedes-Knight was introduced in 1909 and produced until around 1924. It was notable for its use of a Knight sleeve-valve engine, which was licensed from the American inventor Charles Yale Knight.

The defining feature of the Mercedes-Knight was its engine, which used a unique sleeve-valve design. Unlike conventional poppet-valve engines, sleeve-valve engines used sliding sleeves to control the intake and exhaust of air and fuel. This design offered smoother and quieter operation compared to traditional engines. (* See note below for explanation of differences between the two technologies)

The earliest Mercedes-Knight models featured four-cylinder engines, with various body styles available, including touring cars, limousines, and landaulets. These cars were known for their advanced engineering and luxurious amenities.

The Mercedes-Knight achieved considerable success in motorsport competitions, including hill climbs, circuit races, and endurance events. The advanced engineering of the sleeve-valve engine contributed to the car's performance on the racetrack.

Over the years, the Mercedes-Knight underwent various updates and improvements to keep it competitive in the rapidly evolving automotive market. Changes were made to the engine, chassis, and bodywork to enhance performance, comfort, and style.

Despite its initial success, the popularity of the Mercedes-Knight waned in the 1920s due to advancements in engine technology and changing consumer preferences. Sleeve-valve engines fell out of favor as more reliable and efficient poppet-valve engines became commonplace.

The Mercedes-Knight remains an important part of automotive history as one of the early pioneers of sleeve-valve engine technology. While relatively few examples of the Mercedes-Knight exist today, they are highly sought after by collectors and enthusiasts for their historical significance and engineering innovation.

Overall, the Mercedes-Knight represents a fascinating chapter in the history of automotive engineering, showcasing the innovative spirit of Daimler-Motoren-Gesellschaft (DMG) during the early 20th century.

* Difference between 2x technologies:
Poppet-Valve Engine: In a poppet-valve engine, the intake and exhaust valves are typically located in the cylinder head. These valves consist of a valve stem with a mushroom-shaped head that opens and closes to control the flow of air and fuel into the combustion chamber and the expulsion of exhaust gases.
Sleeve-Valve Engine: In a sleeve-valve engine, the intake and exhaust valves are replaced by sliding cylindrical sleeves or ""sleeve valves"" that move up and down within the cylinder walls. These sleeves have ports that align with the intake and exhaust ports in the cylinder wall to control the flow of gases in and out of the combustion chamber.","YesterYear model I've had since the bginning - yellow, open top with spare tire on right side"
3,,Cadillac,Model 30 Coupe,1909,1914,"<5,000","The 1913 Cadillac Model 30 was a significant vehicle in automotive history, representing advancements in both engineering and design.

Cadillac was founded in 1902 by Henry Leland, a skilled engineer and entrepreneur. By 1913, Cadillac had already established itself as a leading luxury automobile manufacturer in the United States.

The 1913 Cadillac Model 30 was powered by a 4-cylinder, L-head engine. It had a displacement of around 366 cubic inches (6.0 liters). This engine was capable of producing approximately 40-50 horsepower, which was quite impressive for its time.

The Model 30 featured a selective sliding-gear manual transmission. It allowed for smoother shifting compared to the earlier non-synchromesh transmissions.

The chassis was a ladder-type frame, providing strength and durability. It featured semi-elliptic leaf spring suspension, offering a relatively comfortable ride for the era.

The 1913 Cadillac Model 30 was available in various body styles, including two-seater runabouts, touring cars, and even limousines. The two-seater runabout was a popular choice, offering a sporty and nimble driving experience. Its design featured flowing lines and elegant proportions, typical of early 20th-century automotive styling.

The Model 30 was known for its reliability and performance, which contributed to Cadillac's reputation for quality. Cadillac was also one of the first automakers to introduce electric starters in their vehicles, which greatly facilitated starting the engine, eliminating the need for hand-cranking.

The 1913 Cadillac Model 30 was well-received by the market and contributed to the brand's growing popularity. Its combination of luxury, performance, and innovation helped solidify Cadillac's position as a premier American automotive brand. Overall, the 1913 Cadillac Model 30 was a significant vehicle in automotive history, showcasing technological advancements and setting the standard for luxury automobiles of its time. It remains an icon of early American automotive engineering and design.","gold colored YesterYear models, one of my originals in the collection, 2x seater with soft top, one spare tire on back"
3,,Opel,"4/8 PS - Coupe
(a.k.a. 'Opel Doktorwagen')",1909,1914,"<5,000","Opel's founder, Adam Opel, passed away in 1895, leaving the company in the hands of his widow and sons. Under their leadership, Opel expanded its production capabilities and introduced several new models to meet the evolving demands of the automotive market.

The Opel 4/8 PS, also known as the Opel Doktorwagen, holds significance as one of Opel's early and influential models.

The Opel 4/8 PS was first introduced in 1909. It marked Opel's transition from producing bicycles and sewing machines to automobiles. The 4/8 PS was designed to be affordable, reliable, and practical, catering to the needs of everyday consumers.

The 4/8 PS featured a compact and lightweight design, making it suitable for urban driving. It typically seated two passengers and was equipped with a modest engine, ranging from 1.0 to 1.3 liters, which produced around 8 horsepower. The car's simple yet functional design earned it the nickname ""Doktorwagen"" or ""Doctor's Car"" due to its popularity among doctors and other professionals who needed a practical vehicle for their daily activities.

The Opel 4/8 PS was a commercial success for Opel. It offered reliable transportation at an affordable price, making it accessible to a broad range of consumers. Its popularity contributed to Opel's rapid growth in the automotive industry during the early 20th century.

The 4/8 PS was produced from 1909 to 1914. While exact production figures are not readily available, Opel likely produced several thousand units of the 4/8 PS during its production run. The car was manufactured at Opel's main production facility in Rüsselsheim, Germany.

The Opel 4/8 PS left a lasting legacy for Opel. It helped establish the brand as a reputable manufacturer of affordable and reliable automobiles. The success of the 4/8 PS laid the foundation for Opel's continued growth and expansion in the automotive industry.

Overall, the Opel 4/8 PS holds historical significance as one of Opel's early models and played a crucial role in shaping the company's identity as a manufacturer of practical and accessible vehicles.","yellow YesterYear original model with black ragtop, 2x seater with no spare tire"
4,,Société des Tricyclecars Bedelia,Type BD2,1910,1914,"<3,000","The Bedelia Type BD2 was a unique and innovative cyclecar produced (hand-built) by the French company Société des Tricyclecars Bedelia from approximately 1910 to 1914.

The Bedelia Type BD2 was introduced as an evolution of the earlier Bedelia Type BD. It was a lightweight cyclecar designed to be affordable and accessible to the masses during the early 20th century.

The Bedelia 8HP featured a compact and lightweight design, characteristic of cyclecars of its era. It typically had a three-wheel configuration, with two wheels at the front and one at the rear. The Bedelia Type BD2 is most commonly known as a three-wheeled cyclecar, featuring a tandem seating arrangement with two wheels at the front and one at the rear. However, there were also variants of the Bedelia Type BD2 that featured a four-wheel configuration as per the model on display.

The body was constructed from lightweight materials such as wood and aluminum, contributing to its low weight and agility.

As indicated by its name, the Bedelia 8HP was powered by a small, low-displacement engine with an output of around 8 horsepower. These engines were usually single-cylinder units sourced from motorcycle manufacturers, providing sufficient power for urban commuting and leisure driving.

Despite its modest engine output, the Bedelia 8HP offered respectable performance for its time. Its lightweight construction and compact dimensions made it nimble and maneuverable, ideal for navigating crowded city streets and narrow country roads.

The Bedelia 8HP, like other cyclecars of its era, gained popularity among urban commuters, enthusiasts, and amateur racers. Its affordability, practicality, and distinctive design made it a desirable choice for individuals seeking an economical and fun mode of transportation.

The Bedelia 8HP, along with other models produced by Société des Tricyclecars Bedelia, contributed to the development and popularization of cyclecars during the early 20th century. While cyclecars eventually fell out of favor as larger, more powerful automobiles became more accessible, they remain an important part of automotive history, representing a unique chapter in the evolution of personal transportation.

Overall, the Bedelia 8HP of 1911 exemplifies the spirit of innovation and creativity that characterized the early days of the automotive industry, offering a glimpse into the diverse range of vehicles that emerged during this period.
",yellow open wheeled brumm model (full axel-steering) #5
4,,Renault,Type AG,1910,1914,"<5,000","The Renault Type AG truck holds a significant place in the history of automotive engineering, particularly in France.

Renault, founded in 1899 by Louis Renault and his brothers Marcel and Fernand, initially began as a car manufacturer. Louis Renault, the chief engineer, was instrumental in developing the company's early models. However, as demand for commercial vehicles grew, Renault began to diversify its product line.

The Renault Type AG was introduced in 1910. It was a light truck designed for commercial purposes. The ""AG"" stood for ""Agricole,"" indicating its suitability for agricultural use, such as transporting goods and produce. This model was part of Renault's early forays into the commercial vehicle market, which proved to be a lucrative expansion for the company.

While specific technical details may vary depending on the exact variant and modifications made over the years, the Renault Type AG generally featured a simple yet robust design. It likely had a lightweight chassis with solid axles and leaf spring suspension, typical of vehicles of that era. The engine was likely a relatively low-powered unit compared to modern standards, but it provided sufficient torque for hauling goods over short to medium distances.

The Renault Type AG played a significant role in facilitating transportation and commerce in France during the early 20th century. Its reliability and versatility made it a popular choice among businesses, farmers, and tradespeople. Additionally, the Type AG contributed to Renault's reputation as a manufacturer of dependable commercial vehicles, laying the foundation for its future success in this market segment.

Over the years, Renault continued to refine its commercial vehicle offerings, introducing newer models with improved features and capabilities. While the Type AG eventually ceased production, its legacy lived on in subsequent generations of Renault trucks and vans, which benefited from advancements in automotive technology and design.

The Renault Type AG is emblematic of the transition from horse-drawn carts to motorized vehicles for transportation and logistics purposes. Its introduction marked a significant milestone in the history of Renault and the automotive industry in France, reflecting the rapid technological advancements and societal changes occurring during the early 20th century.

The Renault Type AG 1910 truck holds a special place in automotive history as one of Renault's early commercial vehicles. Its introduction represented Renault's expansion into the commercial vehicle market and contributed to the company's reputation for producing dependable and versatile trucks. While specific details about the Type AG may be limited, its significance in shaping the automotive landscape of its time cannot be understated.",light blue YesterYear 'The Eagle Pencil Co.' on the side truck
4,,Mercer,"Raceabout
(35-J)",1911,1925,625,"Mercer was an American automobile manufacturer from 1909 until 1925. It was notable for its high-performance cars, especially the Type 35 Raceabout.

The Mercer Automobile Company was formed in May 1909 in Trenton, Mercer County, New Jersey. It evolved from the Walter Automobile Company, which had built the Walter and Roebling-Planche automobiles. Washington A. Roebling II arranged with William Walter, to take over his automobile company and use a vacant brewery in Hamilton, New Jersey, owned by the Kuser family. Ferdinand Roebling, son of John A. Roebling, was the president, and his nephew Washington became general manager. The secretary-treasurer was John L. Kuser.[1]

The first Mercer cars arrived in 1910. A.R. Kingston, E.T. George and C.G. Roebling were credited with the design. The Mercer was available as a speedster, toy tonneau or touring car and were powered by four-cylinder L-head Beaver engines.

Mercers were relatively expensive cars with a median price in 1914 of $2,500, equivalent to $73,040 in 2022. Advertisements by Mercer in 1914 included ""The Mercer is the Steinway of the automobile world "" and ""It is possible to thread a needle while travelling 60 mph."" In 1912 Washington A. Roebling II died in the disaster of the Titanic. In 1914 Finley Porter resigned and his place was taken by Eric H. Delling, who designed a new L-head engine. Like the T-head, the Mercer L-head was a four-cylinder, developing at least 70-hp.",
4,,Renault,"40CV
(Type NM)",1911,1928,"<3,000","The Renault 40CV, also known as the Type NM, was a large luxury car produced by the French automaker Renault from 1911 to 1928.

The Renault 40CV was introduced in 1911 as a successor to the earlier Renault Type AG, also known as the 35CV. It was designed to compete in the luxury car segment and to showcase Renault's engineering capabilities and craftsmanship.

The 40CV was powered by a massive inline-six engine, initially displacing around 9.1 liters. Later versions saw slight increases in engine displacement. This powerful engine produced approximately 70 to 100 horsepower, providing the car with impressive performance for its time.

The Renault 40CV featured a classic luxury car design of the era, with a long hood, spacious cabin, and elegant exterior styling. It was available in various body styles, including limousines, sedans, and open tourers, catering to the preferences of wealthy customers.

The 40CV was equipped with several innovative features for its time, including a four-speed manual transmission, advanced suspension system, and hydraulic brakes. These technologies contributed to the car's reputation for comfort, performance, and reliability.

The Renault 40CV quickly gained popularity among affluent buyers, including royalty, industrialists, and celebrities. It was considered one of the finest luxury cars of its time, known for its smooth ride, refined interior, and prestigious image.

The Renault Reinastella succeeded the Renault 40CV in 1929",
